先礼后兵	兵不厌诈||突然袭击
喜新厌旧	坚定不移||惜玉怜香||地久天长||怜香惜玉
铺张浪费	节衣缩食||省吃俭用||艰苦朴素||开源节流
背阴	向阳
绵里藏针	剑拔弩张
开明	顽固
刀枪入库	秣马厉兵
浊泾清渭	是非不分
孝子	逆子
从善如流	独断专行||疾恶如仇
迎风招展	偃旗息鼓
含蓄	浅露
一表人才	其貌不扬
如臂使指	束手无策||势成骑虎
正中	旁边
城狐社鼠	光明正大
垂帘听政	包而不办
东窗事发	秘而不宣
挑拨离间	精诚团结
罪大恶极	功德无量||功昭日月
心有灵犀一点通	格格不入||貌合神离
善始善终	功亏一篑||有始无终
着	熄||灭
慷慨激昂	无精打采||委靡不振
如狼似虎	如兄如弟||菩萨心肠
才高八斗	才疏志浅
持平之论	一孔之见||偏听偏信
望风而逃	冲锋陷阵||勇往直前
郑重其事	满不在乎
富余	缺少
漆黑一团	博古通今||历历可数||目迷五色||云蒸霞蔚||光芒万丈
才高行洁	缺德少才||才疏学浅
劳师动众	按兵不动
麻痹大意	常备不懈||严阵以待||安不忘危||全神贯注
稳	慌
力所能及	力不能支||无能为力||力不从心
鄙视	重视
松软	坚硬
水深火热	人寿年丰
人杰地灵	绸人广众||人稠物穰
天网恢恢，疏而不漏	逍遥法外
辟谣	造谣
充分	不足
留用	革除
豁达大度	鼠肚鸡肠||心胸狭窄
拉	推
一拖再拖	当务之急
舜日尧天	豺狼当道
萧规曹随	破旧立新||兴利除弊
材料	观点
偿还	拖欠||借贷
知错不改	亡羊补牢||闻过则喜
三顾茅庐	拒人千里||妄自尊大
言之成理	妄下雌黄
管中窥豹	一目了然||洞若观火
两相情愿	大相径庭||一厢情愿||一相情愿
那	这
气冲牛斗	低声下气
应运而生	生不逢辰
守业	创业
摇摆不定	坚韧不拔||坚忍不拔
归并	分开
秋高气爽	春雨绵绵
急躁	温和||耐心
自始至终	有头无尾
功臣	罪人
不期而遇	失之交臂
平	皱||陡
胡作非为	安贫乐道||秋毫无犯||安分守己||循规蹈矩
人造	天然
魂不守舍	聚精会神||心无二用
筑室道谋	一心一意||当机立断
战争	和平
迫不及待	待机而动
损害	爱护||保护
坚强不屈	卑躬屈膝
忘掉	记住
清凉	闷热||燥热||炎热
哑口无言	反唇相稽||振振有辞||滔滔不绝
蒸蒸日上	江河日下||日薄西山||心劳日拙||不可收拾||世风日下||行将就木
战	和
百无聊赖	怡然自得||兴高采烈
初版	再版
瞠乎其后	并驾齐驱
一发千钧	稳如泰山
中断	继续
多多益善	不忮不求||适可而止||清心寡欲
退火	淬火
放开手脚	缩手缩脚
主证	旁证
平易近人	刁钻古怪||飞扬跋扈||炙手可热||咄咄逼人
不易之论	不经之谈||无稽之谈
未然	已然
不急之务	当务之急
高官厚禄	门可罗雀
勇挑重担	拈轻怕重
戚	休
人微言轻	一言千金||一言九鼎
战无不胜	一触即溃
夕阳西下	旭日东升
栽	拔
风和日丽	飞沙走石||风吹雨打||风雨如晦||天昏地暗
量力而行	不自量力||力不从心||螳臂当车||眼高手低
公事公办	徇私舞弊||假公济私
苟延残喘	视死如归||宁死不屈
余勇可贾	无能为力
栋梁之材	斗筲之材
以短击长	扬长避短
空洞无物	微言大义
摈弃	吸取
虚构	写实
谦虚	骄傲||骄慢||狂妄||自负
死敌	契友||至交
节约	浪费
畏葸不前	无所畏惧||自告奋勇
全知全能	一窍不通
反抗	压迫||屈服||驯服
死灰复燃	石沉大海||一蹶不振||销声匿迹
无稽之谈	不刊之论||不易之论||言之凿凿||不容置疑
安安静静	天旋地转
欲速不达	瓜熟蒂落
极乐世界	不毛之地
大我	小我
末了	起头
越级	逐级
矫揉造作	天真烂漫
落井下石	从井救人||济困扶危||雪中送炭||治病救人||成人之美||扶危济困||救死扶伤
生死与共	你死我活||自相鱼肉
隐没	出现||显现
大量	少量||少许
瑕瑜互见	白璧无瑕||完美无缺
萍踪浪迹	安家立业
自得其乐	悲天悯人
果	因
断断续续	接连不断||源源不绝||源源不断||连续不断||连连贯贯
白璧无瑕	白壁微瑕||瑕瑜互见||白璧微瑕
相得益彰	两败俱伤||欲盖弥彰||势不两立
蓄发	削发
流动	凝滞||固定
起用	免职
真情	假意
养痈成患	斩尽杀绝||不留余地
庸才	天才||干才
大样	小样
水中捞月	立竿见影
震撼人心	静若秋水||无动于衷
长篇累牍	简明扼要
空空如也	应有尽有||包罗万象
生死攸关	无关痛痒
幸福	痛苦||苦难||悲惨
夜班	白班
友爱	仇恨
同日而语	较短论长||分门别类
温柔	粗暴||凶恶
遗臭万年	流芳百世||万古长存||一代风流||豹死留皮||名垂青史||永垂不朽
喜气洋洋	愁眉锁眼||愁眉苦脸
惊涛骇浪	风平浪静
撒	收
瘦	肥
有口皆碑	民怨沸腾||人言可畏||不足挂齿||怨声载道
主食	副食
故人	新交
引咎自责	以邻为壑
资本主义	社会主义
洋洋洒洒	味同嚼蜡||简明扼要
以直报怨	忘恩负义
旁观	参与||介入
呼天抢地	前仰后合
立足之地	无地自容||无处容身
吸引力	推斥力
大恩大德	新仇旧恨||小恩小惠||血海深仇
野无遗才	藏龙卧虎
不由自主	独立自主
斜纹	平纹
年深日久	瞬息之间||一朝一夕
不容置疑	无稽之谈||荒诞不经
专制	民主
贱	贵
顶	底
残破	完好||完整
打草惊蛇	欲擒故纵
折本	盈利
不屈不挠	卑躬屈膝
繁花似锦	残枝败柳
褒	贬
旁门	正门
畏首畏尾	敢想敢干||披荆斩棘||万死不辞||无所畏惧||自告奋勇||当机立断||豪放不羁||无所顾忌||义无反顾
甘心情愿	身不由己||迫不得已
面熟	面生
伯仲之间	天渊之别
随便	拘谨
匆猝	从容
峰回路转	山穷水尽
缺吃少穿	丰衣足食
弃若敝屣	敝帚千金||爱不释手
防不胜防	料事如神||万无一失
去火	上火
微型	大型
物极必反	千篇一律
弹压	安抚
坐商	行商
白驹过隙	度日如年
损人利己	舍己为人||为渊驱鱼
高明	低劣
强硬	和缓||软弱
络绎不绝	七零八落
复圆	初亏
热烈	冷淡||平静||冷清
抵制	支持
屈	直
好事多磨	一帆风顺
再生父母	血海深仇||切骨之仇
酒肉朋友	布衣之交||金兰之契||患难之交
别开生面	家常便饭||述而不作||规行矩步
空口无凭	立此存照||铁证如山
忠心耿耿	大逆不道||惹草拈花
达官	平民
令人齿冷	肃然起敬
女	男
心慈手软	心狠手辣||杀气腾腾||心狠手毒
完整	残缺||破碎
各行其是	遥相呼应||步调一致
西历	农历
称誉	申斥
秘密	公开
惊魂未定	从容不迫
偏听偏信	持平之论||中庸之道
泥沙俱下	沙里淘金||去伪存真
岁月蹉跎	马不停蹄
一介不取	一网打尽
逆	顺
素雅	俗气
纳税	免税
心无二用	魂不守舍||一心二用||三心二意
先锋	后卫
变本加厉	大题小作||微不足道
耗费	节省
削职为民	走马上任
轻视	重视||注重
散失	收藏
激进	保守
偷香窃玉	循规蹈矩||安分守己
明察暗访	不见薪新
一干二净	邋里邋遢
开源节流	铺张浪费
自负	谦虚
拨乱反正	积重难返||每况愈下||离经背道
饥寒交迫	饱食暖衣||金迷纸醉||人寿年丰||丰衣足食||暖衣饱食
边缘	中心||中央
滋生	灭绝
悲天悯人	随遇而安||自得其乐
见怪不怪	惊心动魄
欲壑难填	一尘不染
画蛇添足	歪打正着||弄假成真
学名	乳名
不辞而别	不速之客
宝	废
围城打援	围魏救赵
七拼八凑	无懈可击||浑然一体
胡说八道	言之有据
落后	领先||发达||进步
势不两立	唇齿相依||情同骨肉||情投意合||相得益彰||并行不悖||三位一体
头重脚轻	根深蒂固
悲剧	喜剧
年轻力壮	年老力衰
喽罗	头目
空谈快意	现身说法
喜笑颜开	愁肠百结||如丧考妣||忧心忡忡
守节	失节
沮丧	高兴||兴奋
补偿	损耗
平行	交叉
花前月下	行同陌路
具体	抽象||概括
的了吗呢	之乎者也
游手好闲	埋头苦干||夙兴夜寐||孜孜不倦
忘记	记得
刮目相看	不屑一顾||视如草芥||置之不理
鸦默雀静	沸反盈天
羞怯	大方
诅咒	颂扬||祝福
不成体统	循规蹈矩
迫在眉睫	远在天边||慢条斯理
固体	流体||液体
冷锋	暖锋
言行一致	言行不一||口不应心
支出	收入
家给人足	嗷嗷待哺||家破人亡||艰难竭蹶||啼饥号寒||家贫如洗||日前月腹
叠床架屋	精兵简政||删繁就简
原告	被告
平缓	险峻||峭拔
雄厚	薄弱
见利思义	见利忘义||利令智昏
有勇无谋	大智大勇||智勇双全||有勇有谋
雨季	旱季
扶	抑
动工	竣工
锦上添花	雪中送炭||佛头着粪
开胃	反胃
开诚布公	勾心斗角||难言之隐||掩耳盗铃||尔虞我诈||明枪暗箭
变幻莫测	一成不变||木已成舟||依然如故
万事亨通	艰难曲折||荆棘载途||时乖命蹇||焦头烂额||内外交困
鬼头鬼脑	光明正大||堂堂正正
播种	收获
酒囊饭袋	能工巧匠
莫名其妙	洞若观火||一清二楚
奔走相告	呆若木鸡||面如土色
前脚	后脚
狭路相逢	风云际会||天作之合||康庄大道
粗鲁	文雅
低沉	高亢
流体	固体
闹嚷嚷	静悄悄
大巧若拙	愚不可及
断	续||连
君	臣
出超	入超
干巴	水灵
持久战	速决战
